id,Campus,Building,BuildingName,Building Long Name,Address,Latitude,Longitude,Latitude_Longitude_Points,color,strokeColor
19,LOY,FC,FC Building,F.C. Smith Building,7141 Sherbrooke West,45.458493,-73.639287,"[(45.458665118568284, -73.63968595666688),(45.458626080235604, -73.63966449899617),(45.45859785973733, -73.6395900677009),(45.458588923243255, -73.63959543211857),(45.45858139777346, -73.63957397444786),(45.4585555289634, -73.63959476156636),(45.45853906698718, -73.63958805604427),(45.45848356657455, -73.63944053455549),(45.458511316787536, -73.63942242963932),(45.458508494732584, -73.63941103025176),(45.45851507952723, -73.63940499528188),(45.45850049890949, -73.6393647621493),(45.458496736168826, -73.63936543270151),(45.45849297342722, -73.63935336275566),(45.458495325140326, -73.63935000999462),(45.458476981775505, -73.63930173023552),(45.458473689376085, -73.63930307133994),(45.458468985947945, -73.63929100140017),(45.458472748690475, -73.63928764863911),(45.45845534600422, -73.63924540384991),(45.45845534600422, -73.63924540384991),(45.45844405777203, -73.63925546212917),(45.45841912958547, -73.63918974801261),(45.458430417822264, -73.63917901917728),(45.45842430336094, -73.6391602437154),(45.45842994747912, -73.63915353819331),(45.45840972271974, -73.63909922346433),(45.45842665507692, -73.63908581242012),(45.45841536683937, -73.63905563757069),(45.45839279035751, -73.6390697191671),(45.458381502113184, -73.63903887376546),(45.458518371923645, -73.63893426761334),(45.45853013048288, -73.6389657835672),(45.45850849473197, -73.63898254737244),(45.45851931260847, -73.6390147338785),(45.458536715274974, -73.63900266393873),(45.45853718561723, -73.63900333449094),(45.45855929169923, -73.63905496701108),(45.45856916888199, -73.63905027314561),(45.45857481298564, -73.6390636841898),(45.45858186811442, -73.63905764921991),(45.45860585554567, -73.63906703695085),(45.45861667340349, -73.63909520014366),(45.458611029304, -73.6391260455453),(45.45860209281204, -73.63913409217182),(45.45866191253988, -73.63929409717313),(45.45867084902239, -73.63928739165104),(45.458680726185584, -73.63931488429164),(45.45869765846136, -73.63930348490406),(45.4586981288023, -73.63930281435185),(45.45870330255217, -73.63931488429164),(45.45872870095378, -73.63929476772535),(45.458743751853035, -73.6393336597535),(45.458719294139705, -73.63935511742422),(45.458719764480435, -73.63935914073747),(45.458702832211294, -73.63937255178166),(45.458702832211294, -73.63937188122947),(45.45871788311746, -73.63941144380983),(45.45870894664241, -73.63941949043634),(45.458732934019594, -73.63948386344846),(45.45872258652482, -73.63949392173161),(45.458752688323024, -73.6395703646909),(45.45874234083186, -73.63962333831546)]","rgba(255, 0, 0, 0.35)",red
20,SGW,FG,FG Building,Faubourg Ste-Catherine Building,1610 Ste-Catherine,45.494381,-73.578425,"[(45.493797,-73.579040), (45.494669,-73.578020), (45.494428,-73.577594), (45.494394,-73.577659), (45.494436,-73.577750), (45.493612,-73.578706), (45.493804,-73.579038)]","rgba(218, 58, 22, 0.35)",orange
21,SGW,GA,GA Building,Grey Nuns Annex,1211-1215 St-Mathieu,45.494123,-73.57787,"[(45.493841,-73.578359),(45.494143,-73.578024),(45.494120,-73.577976),(45.494346,-73.577745),(45.494297,-73.577632),(45.494052,-73.577858), (45.494075,-73.577927),(45.493789,-73.578266),(45.493849,-73.578368)]","rgba(255, 0, 0, 0.35)
",red
22,LOY,GE,GE Building,Centre for Structural and Functional Genomics,7141 Sherbrooke W,45.457017,-73.640432,"[(45.456919224232344, -73.64067069255898),(45.456894765727604, -73.64068678581359),(45.45687407006149, -73.64063045942252),(45.45689852857518, -73.64061168395882),(45.456800694456746, -73.64034882746716),(45.457040575887284, -73.64016911945757),(45.457142172420845, -73.64044136368106),(45.457129002510165, -73.64045075141291),(45.45717227506229, -73.64056876861325),(45.456947445570734, -73.64073908889101)]","rgba(218, 58, 22, 0.35)",orange
23,SGW,GM,GM Building,Guy-De Maisonneuve Building,1550 DeMaisonneuve W,45.495983,-73.578824,"[(45.495779,-73.579125),(45.496128,-73.578786),(45.495948,-73.578421),(45.495617,-73.578732),(45.495778,-73.579065),(45.495760,-73.579081),(45.495775,-73.579119)]","rgba(218, 58, 22, 0.35)",orange
24,SGW,GNA,GN Building,Grey Nuns Building,1190 Guy Street,45.493622,-73.577003,"[(45.494505,-73.575236),(45.494583,-73.575396),(45.494692,-73.575294),(45.494737,-73.575396),(45.494718,-73.575401),(45.494778,-73.575541),(45.494910,-73.575407),(45.494820,-73.575208),(45.494744,-73.575025),(45.494763,-73.575009),(45.494752,-73.574983),(45.494526,-73.575208),(45.494530,-73.575219),(45.494511,-73.575240),(45.494575,-73.575385),(45.494688,-73.575288), (45.494737,-73.575390), (45.494722,-73.575412), (45.494778,-73.575535)]","rgba(218, 58, 22, 0.35)",orange
28,SGW,GS,GS Building,Guy-Sherbrooke Building,"1538, Sherbrooke W",45.496673,-73.581409,"[(45.496581,-73.581474),(45.496773,-73.581302),(45.496664,-73.581012),(45.496600,-73.581060),(45.496521,-73.580819),(45.496400,-73.580926),(45.496581,-73.581474)]","rgba(255, 0, 0, 0.35)
",red
29,LOY,AD,AD Building,Administration Building,"7141, Sherbrooke West",45.457984,-73.639834,"[(45.45810802371072, -73.63990695220042),(45.458090620911904, -73.6399210337982),(45.45808591745184, -73.63991365772318),(45.45796456804652, -73.64000753504162),(45.457986674351154, -73.64006654363773),(45.45791188915178, -73.64012622279017),(45.45780041668813, -73.63983185034718),(45.45787614273092, -73.639772841747),(45.45789307524832, -73.63981642764486),(45.45790295254778, -73.63980771046529),(45.457916122279016, -73.63983587366184),(45.458022891049275, -73.63975339573537),(45.457999373716774, -73.63967292946239),(45.4580647518786, -73.63963269632971),(45.45808732849264, -73.6396903638231),(45.458095324374334, -73.63969639879357),(45.45820162245832, -73.63961660307288),(45.45819080452089, -73.6395817343546),(45.45819080452089, -73.63958374601143),(45.45819974107804, -73.63957435827959),(45.45817481278462, -73.63950864416078),(45.4582547714276, -73.63944494169618),(45.458377125146804, -73.6397631789874),(45.458298577709755, -73.6398215170325),(45.45827647152555, -73.63976519064143),(45.45815277080302, -73.63986040906443),(45.458155122530314, -73.63986979679626),(45.458141952856224, -73.6398798550804)]","rgba(218, 58, 22, 0.35)",orange
30,LOY,HA,HA Building,"Hingston Hall, wing HA",7141 Sherbrooke West,45.459356,-73.64127,"[(45.459270956192654, -73.64115174489159),(45.4592803629147, -73.641143027712),(45.45925120207126, -73.64106926696181),(45.45949981390246, -73.64086944377065),(45.459690728959586, -73.6413462834467),(45.459441922442814, -73.6415467785727),(45.45940382531715, -73.64145491291377),(45.459394418615695, -73.6414622889888)]","rgba(255, 0, 0, 0.35)",red
31,LOY,HB,HB Building,"Hingston Hall, wing HB",7141 Sherbrooke West,45.459308,-73.641849,"[(45.45896393022267, -73.64190867876295),(45.45899715272769, -73.64188161324276),(45.458971456479645, -73.64181077603153),(45.459368900902916, -73.64149606833807),(45.45955672258169, -73.64197962789791),(45.459527078388625, -73.64200434808951),(45.45952763771316, -73.64200434808951),(45.459503586753016, -73.64194214890041),(45.45935816212305, -73.6420569781749),(45.459363196058824, -73.64206973698347),(45.45934026367975, -73.64208807776755),(45.459360958752676, -73.64214469498062),(45.45916239760014, -73.64230178781101),(45.459140024469214, -73.64224437317242),(45.459106464756154, -73.6422706882151)]","rgba(255, 0, 0, 0.35)",red
